trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.0}",25,9,-70.34917086676778,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 0}",1
2,False,"{'a': 0.7, 'e': 0.25}",25,0,-84.45031636386403,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.7, 'e': 0.1111111111111111}",30,19,-1.1808755744387198,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,False,"{'a': 0.7, 'e': 0.0625}",25,0,0.2645014319395529,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
5,False,"{'a': 0.7, 'e': 0.04}",20,0,-50.467005958769015,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
6,False,"{'a': 0.7, 'e': 0.027777777777777776}",25,7,1.8413892187348473,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.7, 'e': 0.02040816326530612}",25,12,16.6980320782826,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.7, 'e': 0.015625}",30,16,-16.382541832328695,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,False,"{'a': 0.7, 'e': 0.012345679012345678}",25,6,9.800720561144278,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.7, 'e': 0.01}",20,6,21.248862509700572,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.7, 'e': 0.008264462809917356}",20,3,26.761672701929907,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.7, 'e': 0.006944444444444444}",20,8,18.427705445930343,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.7, 'e': 0.005917159763313609}",30,17,11.514357391050854,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.7, 'e': 0.00510204081632653}",25,19,-11.619542379859057,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.7, 'e': 0.0044444444444444444}",30,3,33.19802215688915,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.7, 'e': 0.00390625}",25,16,14.035581119365274,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.7, 'e': 0.0034602076124567475}",25,13,12.193681800000343,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.7, 'e': 0.0030864197530864196}",25,0,-15.450867943890977,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.7, 'e': 0.002770083102493075}",25,19,9.547674441863009,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.7, 'e': 0.0025}",35,15,-5.820825657721066,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
21,False,"{'a': 0.7, 'e': 0.0022675736961451248}",20,9,17.19012438931549,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.7, 'e': 0.002066115702479339}",20,13,14.93089080903798,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.7, 'e': 0.001890359168241966}",25,0,15.525002231184653,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.7, 'e': 0.001736111111111111}",20,8,18.20624224942254,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
