trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.0}",30,0,-102.48742311106157,"{0: 18, 1: 3, 2: 7, 3: 2, 4: 0}",0
2,False,"{'a': 0.6, 'e': 0.25}",30,0,-169.60014119791285,"{0: 21, 1: 2, 2: 2, 3: 2, 4: 3}",0
3,False,"{'a': 0.6, 'e': 0.1111111111111111}",20,0,-20.4144588580964,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
4,False,"{'a': 0.6, 'e': 0.0625}",20,0,-29.578038696142606,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.6, 'e': 0.04}",30,12,7.509782342395982,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.6, 'e': 0.027777777777777776}",25,0,-54.09484567945011,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.6, 'e': 0.02040816326530612}",20,0,14.188367556557353,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.6, 'e': 0.015625}",25,0,-37.60542019994273,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.6, 'e': 0.012345679012345678}",20,8,17.922587554959396,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.6, 'e': 0.01}",20,0,16.139126306221005,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.6, 'e': 0.008264462809917356}",35,0,28.07909575502542,"{0: 33, 1: 1, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.6, 'e': 0.006944444444444444}",30,7,16.01198424252649,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.6, 'e': 0.005917159763313609}",20,0,-41.30347671736173,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
14,False,"{'a': 0.6, 'e': 0.00510204081632653}",30,0,-11.138842840681434,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
15,False,"{'a': 0.6, 'e': 0.0044444444444444444}",20,14,0.16943220060007302,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.6, 'e': 0.00390625}",35,11,12.60480651942008,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.6, 'e': 0.0034602076124567475}",30,0,44.574027566697836,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.6, 'e': 0.0030864197530864196}",25,11,19.609715864610333,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.6, 'e': 0.002770083102493075}",20,0,-57.01755459599987,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
20,False,"{'a': 0.6, 'e': 0.0025}",20,12,-27.32182606078805,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
21,False,"{'a': 0.6, 'e': 0.0022675736961451248}",30,16,23.22064356072183,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.6, 'e': 0.002066115702479339}",20,6,18.77665688728297,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.6, 'e': 0.001890359168241966}",25,15,-25.605791595712105,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
24,False,"{'a': 0.6, 'e': 0.001736111111111111}",30,16,28.484855646627178,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.6, 'e': 0.0016}",25,0,4.2900622936216966,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
26,False,"{'a': 0.6, 'e': 0.0014792899408284023}",30,10,26.666055205704858,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.6, 'e': 0.0013717421124828531}",20,0,19.584415690494627,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.6, 'e': 0.0012755102040816326}",20,4,-9.998762535060688,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
29,False,"{'a': 0.6, 'e': 0.0011890606420927466}",20,0,24.49740789657045,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.6, 'e': 0.0011111111111111111}",25,0,33.254910963731575,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.6, 'e': 0.001040582726326743}",20,0,20.566897952872225,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.6, 'e': 0.0009765625}",20,5,29.33155655735821,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.6, 'e': 0.0009182736455463728}",30,0,-2.419410288056852,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
34,False,"{'a': 0.6, 'e': 0.0008650519031141869}",30,22,14.010574144389174,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.6, 'e': 0.0008163265306122449}",30,11,8.974861036077904,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.6, 'e': 0.0007716049382716049}",20,0,-17.642835657760195,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
37,False,"{'a': 0.6, 'e': 0.0007304601899196494}",20,9,15.69111216683924,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.6, 'e': 0.0006925207756232687}",35,21,24.200996449884276,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.6, 'e': 0.0006574621959237344}",25,13,17.15463095195679,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.6, 'e': 0.000625}",30,0,40.62801205467055,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.6, 'e': 0.000594883997620464}",20,0,14.30160820863622,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
