trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,-44,-248.3427423009642,"{0: 51, 1: 6, 2: 11, 3: 3, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,-69,-710.8420094677064,"{0: 53, 1: 7, 2: 19, 3: 2, 4: 13}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,-67,-641.9833966942311,"{0: 42, 1: 14, 2: 23, 3: 6, 4: 7}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,-100,-588.9930069698548,"{0: 76, 1: 17, 2: 18, 3: 6, 4: 8}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,-94,-652.5885346338732,"{0: 71, 1: 17, 2: 24, 3: 3, 4: 9}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,-85,-557.2385043767221,"{0: 56, 1: 17, 2: 23, 3: 2, 4: 7}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,-42,-171.05708797877656,"{0: 39, 1: 7, 2: 13, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,-26,-345.2471032179528,"{0: 35, 1: 5, 2: 9, 3: 0, 4: 7}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,3,-165.81205594787352,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 2}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,-100,-786.0377829489126,"{0: 67, 1: 18, 2: 18, 3: 4, 4: 13}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,-100,-665.9135895134823,"{0: 77, 1: 12, 2: 17, 3: 11, 4: 8}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,-41,-453.6865631496885,"{0: 36, 1: 10, 2: 15, 3: 4, 4: 6}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,-93,-439.549092206065,"{0: 71, 1: 14, 2: 20, 3: 2, 4: 6}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,-13,-185.2158288654626,"{0: 19, 1: 7, 2: 8, 3: 3, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,-16,-324.1586700293516,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 7}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,-100,-504.0438813834936,"{0: 66, 1: 19, 2: 28, 3: 3, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,-52,-289.4546793189286,"{0: 50, 1: 12, 2: 14, 3: 4, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,-100,-629.4908875887684,"{0: 66, 1: 18, 2: 30, 3: 5, 4: 6}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,-100,-606.6053733714023,"{0: 84, 1: 12, 2: 26, 3: 6, 4: 7}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,-100,-825.7408330024098,"{0: 68, 1: 19, 2: 27, 3: 4, 4: 12}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,-58,-553.9296794537399,"{0: 39, 1: 12, 2: 21, 3: 5, 4: 6}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,-100,-669.270384249339,"{0: 68, 1: 16, 2: 21, 3: 6, 4: 9}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,-86,-366.63341754226224,"{0: 65, 1: 14, 2: 21, 3: 3, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,-67,-424.47300324405677,"{0: 53, 1: 9, 2: 17, 3: 2, 4: 6}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,-100,-628.921669383995,"{0: 68, 1: 19, 2: 27, 3: 4, 4: 7}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,-100,-680.8144989803166,"{0: 69, 1: 17, 2: 25, 3: 6, 4: 8}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,-15,-142.62706125207174,"{0: 21, 1: 4, 2: 8, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,-37,-380.65641880014357,"{0: 39, 1: 5, 2: 15, 3: 3, 4: 5}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,-100,-601.8076902003401,"{0: 81, 1: 11, 2: 24, 3: 7, 4: 7}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,-100,-860.6940621250106,"{0: 66, 1: 14, 2: 22, 3: 3, 4: 15}",0
